City_ID,City,Country,Date,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed
61,Kahului,US,2020-11-12 04:12:29,20.89,-156.47,scattered clouds,80.6,57,40,21.92
62,Cidreira,BR,2020-11-12 04:15:38,-30.18,-50.21,overcast clouds,67.37,90,99,5.37
63,Pisco,PE,2020-11-12 04:15:39,-13.7,-76.22,clear sky,64.4,88,0,10.29
64,Atuona,PF,2020-11-12 04:15:39,-9.8,-139.03,clear sky,77.86,75,2,13.18
65,San Patricio,US,2020-11-12 04:12:40,28.02,-97.52,few clouds,73.99,88,20,5.82
66,Tuktoyaktuk,CA,2020-11-12 04:15:39,69.45,-133.04,broken clouds,1.4,77,75,8.05
67,Richards Bay,ZA,2020-11-12 04:15:39,-28.78,32.04,broken clouds,65.89,79,71,3.2
68,Norman Wells,CA,2020-11-12 04:15:39,65.28,-126.83,few clouds,-13.0,83,20,3.36
69,Borovoy,RU,2020-11-12 04:15:40,55.43,86.08,broken clouds,30.2,63,75,11.18
70,Vaini,TO,2020-11-12 04:15:40,-21.2,-175.2,broken clouds,78.8,83,75,11.41
71,Loa Janan,ID,2020-11-12 04:15:40,-0.58,117.09,overcast clouds,94.39,47,98,3.65
72,Khorinsk,RU,2020-11-12 04:15:40,52.17,109.77,clear sky,26.94,88,0,1.12
73,Barrow,US,2020-11-12 04:15:29,71.29,-156.79,mist,19.4,85,90,19.46
74,Green River,US,2020-11-12 04:15:41,41.53,-109.47,broken clouds,19.4,85,75,12.75
75,Mount Isa,AU,2020-11-12 04:15:41,-20.73,139.5,scattered clouds,105.8,21,40,12.75
76,Punta Arenas,CL,2020-11-12 04:11:03,-53.15,-70.92,clear sky,48.2,76,0,8.05
77,Anadyr,RU,2020-11-12 04:12:45,64.75,177.48,few clouds,15.8,92,20,6.71
78,Zhezkazgan,KZ,2020-11-12 04:15:42,47.8,67.71,overcast clouds,26.6,79,90,17.9
79,Hilo,US,2020-11-12 04:15:42,19.73,-155.09,overcast clouds,78.8,65,90,8.05
80,Saint-Georges,GD,2020-11-12 04:15:42,12.06,-61.75,light intensity shower rain,82.4,83,20,17.22
81,Houston,US,2020-11-12 04:14:36,29.76,-95.36,scattered clouds,73.4,53,40,11.41
82,Ribas Do Rio Pardo,BR,2020-11-12 04:15:43,-20.44,-53.76,broken clouds,71.4,83,67,4.12
83,Ufimskiy,RU,2020-11-12 04:15:43,56.71,58.05,overcast clouds,21.43,96,100,9.19
84,Mantua,IT,2020-11-12 04:15:43,45.17,10.78,broken clouds,48.99,92,69,1.97
85,Warrington,GB,2020-11-12 04:15:43,53.39,-2.58,overcast clouds,52.0,87,99,16.11
86,Cape Town,ZA,2020-11-12 04:11:21,-33.93,18.42,clear sky,63.0,82,0,2.24
87,Tazovskiy,RU,2020-11-12 04:13:26,67.47,78.7,broken clouds,-2.56,92,78,8.37
88,Pacifica,US,2020-11-12 04:15:44,37.61,-122.49,broken clouds,53.6,81,75,11.41
89,Tasiilaq,GL,2020-11-12 04:13:01,65.61,-37.64,clear sky,16.57,77,0,6.85
90,Eureka,US,2020-11-12 04:15:44,40.8,-124.16,clear sky,44.01,91,0,3.24
91,Arraial Do Cabo,BR,2020-11-12 04:15:45,-22.97,-42.03,overcast clouds,72.91,93,100,8.79
92,Escanaba,US,2020-11-12 04:15:45,45.75,-87.06,clear sky,37.0,69,1,9.17
93,Yar-Sale,RU,2020-11-12 04:15:45,66.83,70.83,overcast clouds,3.25,94,90,8.3
94,Tournai,BE,2020-11-12 04:15:46,50.61,3.39,light rain,53.01,93,100,16.11
95,Nadym,RU,2020-11-12 04:15:46,65.53,72.52,few clouds,-0.4,93,18,8.59
96,Raga,SS,2020-11-12 04:15:46,8.46,25.68,clear sky,69.21,35,0,4.12
97,Hithadhoo,MV,2020-11-12 04:15:47,-0.6,73.08,overcast clouds,83.57,68,98,1.66
98,Pervomayskoye,RU,2020-11-12 04:15:47,43.92,46.71,clear sky,32.49,89,0,2.71
99,Barra,BR,2020-11-12 04:15:47,-11.09,-43.14,clear sky,75.09,61,0,4.52
100,Griffith,US,2020-11-12 04:12:24,41.53,-87.42,clear sky,33.8,86,1,3.74
101,Homer,US,2020-11-12 04:15:06,59.64,-151.55,light rain,41.0,75,90,3.36
102,Barra Do Bugres,BR,2020-11-12 04:15:48,-15.07,-57.18,moderate rain,72.28,95,100,1.43
