City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
653,Kyenjojo,UG,59.61,light rain,0.63,30.62,Ivory View Hotel
654,Zhangjiakou,CN,50.81,clear sky,40.81,114.88,Shell Zhangjiakou City Qiaodong District Ginza Hotel
659,Beauceville,CA,59.0,overcast clouds,46.22,-70.78,Motel Royal
671,Vilcun,CL,51.8,overcast clouds,-38.65,-72.23,"Rayen-Co, Rural Tourism"
698,Duzce,TR,51.12,broken clouds,40.84,31.16,Gösteri̇şli̇ Otel
701,Mega,ET,59.13,scattered clouds,4.05,38.3,Amanuel Guest House
707,Lerwick,GB,51.8,light rain,60.15,-1.15,The Lerwick Hotel
722,Sabzevar,IR,50.0,light rain,36.21,57.68,پارکینگ وسایل سنگین جنوب
724,Plougastel-Daoulas,FR,50.0,few clouds,48.37,-4.37,hotelF1 Brest Sud Plougastel
726,Marondera,ZW,59.14,overcast clouds,-18.19,31.55,HopeFay Conference Centre
730,Castrovillari,IT,50.13,few clouds,39.82,16.21,AliaJazzHotel B&b- Locanda di Alia
